block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
43,vector0,NA,NA,NA,NA,NA,NA,1.641818,2709,0.002211,0.002185,0.000026,0.000000,0.000000,0.005053,0.000000,0.015578,
43,vector1,NA,NA,NA,NA,NA,NA,1.623636,2679,0.002211,0.002185,0.000026,0.000000,0.000000,0.004473,0.000000,0.012693,
44,cube0,0.367273,606,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
44,vector0,NA,NA,NA,NA,NA,NA,1.406061,2320,0.002211,0.002185,0.000026,0.000000,0.000000,0.004311,0.000000,0.015647,
44,vector1,NA,NA,NA,NA,NA,NA,1.380606,2278,0.002211,0.002185,0.000026,0.000000,0.000000,0.004131,0.000000,0.013641,
45,cube0,0.322424,532,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
45,vector0,NA,NA,NA,NA,NA,NA,1.681212,2774,0.002211,0.002185,0.000026,0.000000,0.000000,0.004268,0.000000,0.015587,
45,vector1,NA,NA,NA,NA,NA,NA,1.443030,2381,0.002211,0.002185,0.000026,0.000000,0.000000,0.004533,0.000000,0.013803,
46,cube0,0.312121,515,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,vector0,NA,NA,NA,NA,NA,NA,1.530303,2525,0.002211,0.002185,0.000026,0.000000,0.000000,0.005856,0.000000,0.014281,
46,vector1,NA,NA,NA,NA,NA,NA,2.005455,3309,0.002211,0.002185,0.000026,0.000000,0.000000,0.008587,0.000000,0.013325,
47,cube0,0.343636,567,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47,vector0,NA,NA,NA,NA,NA,NA,1.639394,2705,0.002211,0.002185,0.000026,0.000000,0.000000,0.004174,0.000000,0.013444,
47,vector1,NA,NA,NA,NA,NA,NA,1.544848,2549,0.002211,0.002185,0.000026,0.000000,0.000000,0.006155,0.000000,0.012847,
48,cube0,0.316364,522,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,vector0,NA,NA,NA,NA,NA,NA,1.530909,2526,0.002211,0.002185,0.000026,0.000000,0.000000,0.005881,0.000000,0.015638,
48,vector1,NA,NA,NA,NA,NA,NA,1.868485,3083,0.002211,0.002185,0.000026,0.000000,0.000000,0.006820,0.000000,0.014400,
49,cube0,0.352727,582,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,vector0,NA,NA,NA,NA,NA,NA,1.596364,2634,0.002211,0.002185,0.000026,0.000000,0.000000,0.004481,0.000000,0.014776,
49,vector1,NA,NA,NA,NA,NA,NA,1.547879,2554,0.002211,0.002185,0.000026,0.000000,0.000000,0.006300,0.000000,0.013478,
50,cube0,0.329091,543,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
50,vector0,NA,NA,NA,NA,NA,NA,1.653939,2729,0.002211,0.002185,0.000026,0.000000,0.000000,0.008015,0.000000,0.015126,
50,vector1,NA,NA,NA,NA,NA,NA,1.982424,3271,0.002211,0.002185,0.000026,0.000000,0.000000,0.010303,0.000000,0.015280,
51,cube0,0.371515,613,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,vector0,NA,NA,NA,NA,NA,NA,1.690909,2790,0.002211,0.002185,0.000026,0.000000,0.000000,0.005540,0.000000,0.013444,
51,vector1,NA,NA,NA,NA,NA,NA,1.587879,2620,0.002211,0.002185,0.000026,0.000000,0.000000,0.006906,0.000000,0.012044,
52,cube0,0.305455,504,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,vector0,NA,NA,NA,NA,NA,NA,1.558788,2572,0.002211,0.002185,0.000026,0.000000,0.000000,0.005770,0.000000,0.015365,
52,vector1,NA,NA,NA,NA,NA,NA,1.395151,2302,0.002211,0.002185,0.000026,0.000000,0.000000,0.004072,0.000000,0.015391,
53,cube0,0.310303,512,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
53,vector0,NA,NA,NA,NA,NA,NA,1.695758,2798,0.002211,0.002185,0.000026,0.000000,0.000000,0.004661,0.000000,0.013299,
53,vector1,NA,NA,NA,NA,NA,NA,1.572727,2595,0.002211,0.002185,0.000026,0.000000,0.000000,0.003619,0.000000,0.014878,
54,cube0,0.321212,530,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,vector0,NA,NA,NA,NA,NA,NA,1.475758,2435,0.002211,0.002185,0.000026,0.000000,0.000000,0.005540,0.000000,0.015595,
54,vector1,NA,NA,NA,NA,NA,NA,1.804848,2978,0.002211,0.002185,0.000026,0.000000,0.000000,0.006300,0.000000,0.016893,
55,cube0,0.352727,582,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
55,vector0,NA,NA,NA,NA,NA,NA,1.590303,2624,0.002211,0.002185,0.000026,0.000000,0.000000,0.005327,0.000000,0.014110,
55,vector1,NA,NA,NA,NA,NA,NA,1.580000,2607,0.002211,0.002185,0.000026,0.000000,0.000000,0.006257,0.000000,0.015391,
56,cube0,0.340000,561,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
56,vector0,NA,NA,NA,NA,NA,NA,1.623636,2679,0.002211,0.002185,0.000026,0.000000,0.000000,0.007332,0.000000,0.014571,
56,vector1,NA,NA,NA,NA,NA,NA,1.537576,2537,0.002211,0.002185,0.000026,0.000000,0.000000,0.006078,0.000000,0.016748,
57,cube0,0.306667,506,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
57,vector0,NA,NA,NA,NA,NA,NA,1.818788,3001,0.002211,0.002185,0.000026,0.000000,0.000000,0.005702,0.000000,0.012983,
57,vector1,NA,NA,NA,NA,NA,NA,1.663636,2745,0.002211,0.002185,0.000026,0.000000,0.000000,0.004285,0.000000,0.015484,
58,cube0,0.364242,601,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
58,vector0,NA,NA,NA,NA,NA,NA,1.497576,2471,0.002211,0.002185,0.000026,0.000000,0.000000,0.005480,0.000000,0.015075,
58,vector1,NA,NA,NA,NA,NA,NA,1.689091,2787,0.002211,0.002185,0.000026,0.000000,0.000000,0.005250,0.000000,0.015339,
59,cube0,0.350909,579,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
59,vector0,NA,NA,NA,NA,NA,NA,1.587879,2620,0.002211,0.002185,0.000026,0.000000,0.000000,0.005156,0.000000,0.015493,
59,vector1,NA,NA,NA,NA,NA,NA,1.383030,2282,0.002211,0.002185,0.000026,0.000000,0.000000,0.004217,0.000000,0.014998,
60,cube0,0.347273,573,0.000000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
60,vector0,NA,NA,NA,NA,NA,NA,1.565455,2583,0.002211,0.002185,0.000026,0.000000,0.000000,0.006470,0.000000,0.014409,
60,vector1,NA,NA,NA,NA,NA,NA,1.529091,2523,0.002211,0.002185,0.000026,0.000000,0.000000,0.006103,0.000000,0.015630,
