block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
29,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.398182,2307,65,0,65,0,65,0,100.000000,100.000000,100.000000,
30,cube0,0.330909,546,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481818,2445,1,64,1,64,1,64,1.538462,1.538462,1.538462,
30,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.461212,2411,1,64,1,64,1,64,1.538462,1.538462,1.538462,
31,cube0,0.373939,617,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653939,2729,65,0,65,0,65,0,100.000000,100.000000,100.000000,
31,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.585455,2616,65,0,66,0,64,0,100.000000,100.000000,100.000000,
32,cube0,0.304848,503,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.490909,2460,24,41,0,64,2,64,36.923077,1.538462,13.333333,
32,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.497576,2471,1,64,1,64,1,64,1.538462,1.538462,1.538462,
33,cube0,0.314545,519,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.572727,2595,42,23,66,0,64,0,64.615387,100.000000,88.205132,
33,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.581212,2609,65,0,64,0,66,0,100.000000,100.000000,100.000000,
34,cube0,0.317576,524,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435758,2369,1,64,1,64,1,64,1.538462,1.538462,1.538462,
34,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.385455,2286,1,64,1,63,1,65,1.538462,1.538462,1.538462,
35,cube0,0.348485,575,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.528485,2522,65,0,66,0,64,0,100.000000,100.000000,100.000000,
35,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.549091,2556,65,0,64,0,66,0,100.000000,100.000000,100.000000,
36,cube0,0.341212,563,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.630909,2691,1,64,2,64,0,64,1.538462,1.538462,1.538462,
36,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.501818,2478,65,0,1,63,1,65,100.000000,1.538462,34.358974,
37,cube0,0.309697,511,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.660000,2739,65,0,66,0,64,0,100.000000,100.000000,100.000000,
37,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.544848,2549,1,64,65,0,65,0,1.538462,100.000000,67.179489,
38,cube0,0.363030,599,1,0,1,0,0,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492727,2463,17,48,19,48,15,48,26.153847,26.153847,26.153847,
38,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.877576,3098,1,64,46,17,52,15,1.538462,75.384613,50.769230,
39,cube0,0.347879,574,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.580000,2607,49,16,49,16,49,16,75.384613,75.384613,75.384613,
39,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.486061,2452,65,0,17,48,17,48,100.000000,26.153847,50.769230,
40,cube0,0.349697,577,1,0,0,0,1,0,100.000000,100.000000,100.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.599394,2639,1,64,1,63,1,65,1.538462,1.538462,1.538462,
40,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420606,2344,1,64,66,0,64,0,1.538462,100.000000,67.179489,
