block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
82,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.468485,2423,
82,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.732121,2858,
83,cube0,0.292727,483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
83,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.617576,2669,
83,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.520606,2509,
84,cube0,0.364848,602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
84,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.480000,2442,
84,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.541212,2543,
85,cube0,0.323636,534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
85,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.648485,2720,
85,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.807273,2982,
86,cube0,0.311515,514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
86,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.481818,2445,
86,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.666667,2750,
87,cube0,0.341212,563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
87,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.447879,2389,
87,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.619394,2672,
88,cube0,0.315758,521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
88,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.489091,2457,
88,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.598182,2637,
89,cube0,0.352121,581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
89,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.601212,2642,
89,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.771515,2923,
90,cube0,0.327879,541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
90,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.760606,2905,
90,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.902424,3139,
91,cube0,0.383030,632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
91,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.529091,2523,
91,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.550303,2558,
92,cube0,0.306667,506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
92,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.579394,2606,
92,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.558182,2571,
93,cube0,0.309091,510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
93,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.511515,2494,
93,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.505455,2484,
94,cube0,0.317576,524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
94,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.427273,2355,
94,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.825455,3012,
95,cube0,0.348485,575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
95,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.590909,2625,
95,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.553939,2564,
96,cube0,0.340000,561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
96,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.461818,2412,
96,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.432121,2363,
97,cube0,0.312727,516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
97,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.524242,2515,
97,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.586667,2618,
98,cube0,0.358182,591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
98,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.375152,2269,
98,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.502424,2479,
99,cube0,0.349091,576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
99,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.581212,2609,
99,vector1,NA,NA,NA,NA,NA,NA,NA,NA,1.663030,2744,
100,cube0,0.347273,573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
100,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.447879,2389,
